name,last_modified,isVersionOf
Techniques of Informatics and Microelectronics for Integrated Systems Architecture,2024-06-20,https://ror.org/000063q30
Institut Agronomique Méditerranéen de Montpellier,2024-06-20,https://ror.org/0005r2j17
Laboratoire de Linguistique de Nantes,2024-06-20,https://ror.org/0009eec40
Audencia Business School,2024-06-20,https://ror.org/000axn811
Centre d'Investigation Clinique Plurithématique de Bordeaux,2024-06-20,https://ror.org/000bbyx17
Institut de Chimie Radicalaire,2024-06-20,https://ror.org/000d5zy28
Lomonosov Moscow State University Marine Research Center LLC,2024-06-20,https://ror.org/000es9t33
Helmholtz Centre for Environmental Research,2024-06-20,https://ror.org/000h6jb29
Signalisation Fonctionnelle des Canaux Ioniques et Récepteurs,2024-06-20,https://ror.org/000n0fx93
"Biopathologie de la myéline, neuroprotection et stratégies thérapeutiques",2024-06-20,https://ror.org/000n1xh78
Laboratoire d'Optique et Biosciences,2024-06-20,https://ror.org/000p29f53
Hospital Universitario del Valle ESE,2024-06-20,https://ror.org/000p4dw82
Centre Interuniversitaire de MicroElectronique et Nanotechnologies,2024-06-20,https://ror.org/000tdrn36
Fractionnation of AgroResources and Environment,2024-06-20,https://ror.org/00136g547
Centre d’histoire des sociétés Médiévales et Modernes,2024-06-20,https://ror.org/0014xh077
Institut de génétique et de biologie moléculaire et cellulaire,2024-06-20,https://ror.org/0015ws592
Institut des Maladies Neurodégénératives,2024-06-20,https://ror.org/001695n52
Institut Charles Viollette,2024-06-20,https://ror.org/0018c4h73
Réseau sur le Stockage Electrochimique de l'énergie,2024-06-20,https://ror.org/00190j002
Institut de Biologie et de Chimie des Protéines,2024-06-20,https://ror.org/0019x5d05
Laboratoire d'Acoustique de l'Université du Mans,2024-06-20,https://ror.org/001aevc89
Université Bordeaux-I,2024-06-20,https://ror.org/001anga17
Agència de Qualitat Universitària de les Illes Balears,2024-06-20,https://ror.org/001gq4617
Institut de Chimie des Milieux et des Matériaux de Poitiers,2024-06-20,https://ror.org/001n7ee52
Conservatoire botanique national de Bailleul,2024-06-20,https://ror.org/001q9w183
Hansa Biopharma (Sweden),2024-06-20,https://ror.org/001r0mk78
Biomécanique et Pathologie Locomotrice du Cheval,2024-06-20,https://ror.org/001rmv394
Enzyme and Cell Engineering - Molecular Recognition and Biocatalysis,2024-06-20,https://ror.org/001tmq304
Neuropsychiatrie : Recherche Epidemiologique et Clinique,2024-06-20,https://ror.org/0022kfb81
Plantes et Système de Cultures Horticoles,2024-06-20,https://ror.org/0024c1w94
Biologie et Génétique des Interactions Plante-Parasite,2024-06-20,https://ror.org/0026vdt21
Laboratoire Hubert Curien,2024-06-20,https://ror.org/0028p8r67
Assistance Publique Hôpitaux de Marseille,2024-06-20,https://ror.org/002cp4060
Centre Bourgogne-Franche-Comté,2024-06-20,https://ror.org/002jby155
Université du Québec à Montréal,2024-06-20,https://ror.org/002rjbv21
Université Paris 1 Panthéon-Sorbonne,2024-06-20,https://ror.org/002t25c44
Collège International des Sciences du Territoire,2024-06-20,https://ror.org/002t9r032
Laboratoire pour l'utilisation des lasers intenses,2024-06-20,https://ror.org/002ty1h48
Institut des Neurosciences Paris-Saclay,2024-06-20,https://ror.org/002v40q27
Centre Population et Développement,2024-06-20,https://ror.org/002yg6s88
Institut de Mécanique Céleste et de Calcul des Éphémérides,2024-06-20,https://ror.org/002zc3t08
Laboratoire de Biophotonique et Pharmacologie,2024-06-20,https://ror.org/0032sc770
Centre de Recherche en Cancérologie de Toulouse,2024-06-20,https://ror.org/003412r28
UIN Raden Mas Said Surakarta,2024-06-20,https://ror.org/0037hx413
Centre de recherche sur le droit des marchés et des investissements internationaux,2024-06-20,https://ror.org/003cgs259
Centre de Recherche en Cancérologie et Immunologie Intégrée Nantes Angers,2024-06-20,https://ror.org/003g1aw90
Laboratoire de Génie Chimique,2024-06-20,https://ror.org/003jnac13
Construction Engineering Research Laboratory,2024-06-20,https://ror.org/003mzyg61
LabexMER,2024-06-20,https://ror.org/003n95695
Unité de Nutrition Humaine,2024-06-20,https://ror.org/003qhrc72
Physiologie et Médecine Expérimentale du Coeur et des Muscles,2024-06-20,https://ror.org/003sscq03
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",2024-06-20,https://ror.org/003vg9w96
Centre de Gestion Scientifique,2024-06-20,https://ror.org/003y0kg83
Institut des sciences juridique et philosophique de la Sorbonne,2024-06-20,https://ror.org/0041am420
Centre de Recherche en Économie et Management,2024-06-20,https://ror.org/0047rmf80
Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,2024-06-20,https://ror.org/004fmxv66
Ecophysiologie et Génomique Fonctionnelle de la Vigne,2024-06-20,https://ror.org/004q3z910
Université de Toulouse,2024-06-20,https://ror.org/004raaa70
The First People's Hospital of Guangyuan,2024-06-20,https://ror.org/004v3m339
Centre de RMN à Très Hauts Champs de Lyon,2024-06-20,https://ror.org/004wefe19
Centre National de Recherche en Génomique Humaine,2024-06-20,https://ror.org/004yvsb77
MoSAR - Modelisation Systemique Appliquee aux Ruminants,2024-06-20,https://ror.org/0050cbz19
Laboratoire de Recherche sur les Cultures Anglophones,2024-06-20,https://ror.org/0057kwj95
"Ecosystèmes, Biodiversité, Evolution",2024-06-20,https://ror.org/005fjj927
Centre d'études supérieures de civilisation médiévale,2024-06-20,https://ror.org/005hw9085
Laboratoire d'études de genre et de sexualité,2024-06-20,https://ror.org/005w2mm89
Institut de Biosciences et biotechnologies d'Aix-Marseille,2024-06-20,https://ror.org/005yfhm28
Bioénergétique et Ingénierie des Protéines,2024-06-20,https://ror.org/0060xzr04
Laboratoire d’Étude des Mécanismes Cognitifs,2024-06-20,https://ror.org/0061rmm93
Neurophysiologie et nouvelles microscopies,2024-06-20,https://ror.org/006626m33
Centre de recherche sur les civilisations de l'Asie orientale,2024-06-20,https://ror.org/006gzge74
École de Psychologues Praticien,2024-06-20,https://ror.org/006yrbb28
"Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines",2024-06-20,https://ror.org/006z7v557
Les Afriques dans le Monde,2024-06-20,https://ror.org/00721wn77
Heuristics and Diagnostics for Complex Systems,2024-06-20,https://ror.org/0075hvk77
Mathématiques et Informatique Appliquées,2024-06-20,https://ror.org/00780az30
Max Planck Institute for Physics,2024-06-20,https://ror.org/0079jjr10
Geo-Ocean,2024-06-20,https://ror.org/007dbrz84
Institut d'Asie Orientale,2024-06-20,https://ror.org/007dy3y92
University of Belgrade – Faculty of Orthodox Theology,2024-06-20,https://ror.org/007g5gk82
Japanese-French Laboratory for Informatics,2024-06-20,https://ror.org/007xn7v02
Archéologie et Histoire Ancienne : Méditerranée – Europe,2024-06-20,https://ror.org/007xqmx73
Centre de Recherche en Design,2024-06-20,https://ror.org/007y9b339
"Laboratoire Interdisciplinaire Sciences, Innovations, Sociétés",2024-06-20,https://ror.org/007yrhe07
Centre lyonnais d'Histoire du droit et de la pensée politique,2024-06-20,https://ror.org/007z4h433
Institut des sciences de la communication,2024-06-20,https://ror.org/00801j392
Centre de Recherche Astrophysique de Lyon,2024-06-20,https://ror.org/0084x3h80
Médicaments et Molécules pour Agir sur les Systèmes Vivants,2024-06-20,https://ror.org/0086epd30
Groupe de Recherche en Économie Théorique et Appliquée,2024-06-20,https://ror.org/0086zww50
National School of Architecture of Montpellier,2024-06-20,https://ror.org/008axfh28
"Centre d'Études et de Documentation Économiques, Juridiques et sociales",2024-06-20,https://ror.org/008bf9746
Ecole d'Ingénieurs de PURPAN,2024-06-20,https://ror.org/008bwpw24
"HIPI -  Immunologie humaine, physiopathologie et immunithérapie",2024-06-20,https://ror.org/008e1sp22
Délégation Ile-de-France Villejuif,2024-06-20,https://ror.org/008kn4z11
Laboratoire des Matériaux Surfaces et Procédés pour la Catalyse,2024-06-20,https://ror.org/008pt4x48
Gene Therapy Laboratory,2024-06-20,https://ror.org/008rwh029
Centre d'Écologie Fonctionnelle et Évolutive,2024-06-20,https://ror.org/008rywf59
National Institute for Social Care and Health Research,2024-06-20,https://ror.org/008zsd307
Auckland Institute of Studies,2024-06-20,https://ror.org/0090kax79
"Cancer et génome: Bioinformatique, biostatistiques et épidémiologie des systèmes complexes",2024-06-20,https://ror.org/0095dt357
Biologie Moléculaire Structurale et Processus Infectieux,2024-06-20,https://ror.org/009b91528
"Entrepôts, Représentation et Ingénierie des Connaissances",2024-06-20,https://ror.org/009frb846
École de management de Lyon,2024-06-20,https://ror.org/009gmrj52
The Abdus Salam International Centre for Theoretical Physics (ICTP),2024-06-20,https://ror.org/009gyvm78
Laboratoire de recherche du CEIPI,2024-06-20,https://ror.org/009t5dc22
Culture et histoire dans l'espace roman,2024-06-20,https://ror.org/00a19vs18
Institut Interdisciplinaire d’Anthropologie du Contemporain,2024-06-20,https://ror.org/00a5z9122
Laboratoire Innovations Technologiques pour la Détection et le Diagnostic,2024-06-20,https://ror.org/00a8cnz80
Centre de sociologie de l'innovation,2024-06-20,https://ror.org/00a8p0m24
Paris Centre for Quantum Technologies,2024-06-20,https://ror.org/00adasd53
Institut des Sciences Chimiques de Rennes,2024-06-20,https://ror.org/00adwkx90
Institut des Sciences des Plantes de Paris Saclay,2024-06-20,https://ror.org/00ajjta07
École Nationale d'Administration,2024-06-20,https://ror.org/00aqh6z65
Royal Victoria Hospital,2024-06-20,https://ror.org/00arwy491
Georgia Tech-CNRS Laboratory,2024-06-20,https://ror.org/00avmbz91
Universidad de Ciencias Médicas de Ciego de Ávila,2024-06-20,https://ror.org/00avz5239
Laboratoire Ingénierie des Fluides Systèmes Énergétiques,2024-06-20,https://ror.org/00awn3k11
Groupe de recherche sur les enjeux de la communication,2024-06-20,https://ror.org/00awrf758
Centre Gilles-Gaston Granger,2024-06-20,https://ror.org/00axatv03
Laboratoire HydroSciences Montpellier,2024-06-20,https://ror.org/00aycez97
Laboratoire de Biotechnologie et Chimie Marines,2024-06-20,https://ror.org/00aytnh12
Le Laboratoire des Maladies Neurodégénératives,2024-06-20,https://ror.org/00az7j379
Nanomatériaux Pour les Systèmes Sous Sollicitations Extrêmes,2024-06-20,https://ror.org/00b4q1853
Centre de Mathématiques Laurent Schwartz,2024-06-20,https://ror.org/00b7djk73
Ecologie fonctionnelle & biogéochimie des sols & des agro-systèmes,2024-06-20,https://ror.org/00b80ez59
Institute for Regenerative Medicine & Biotherapy,2024-06-20,https://ror.org/00b8mh310
Dragomanov Ukrainian State University,2024-06-20,https://ror.org/00batt813
Laboratoire Univers et Théories,2024-06-20,https://ror.org/00bbtde36
AGIR à dom,2024-06-20,https://ror.org/00bg4y631
"Sociétés, Acteurs, Gouvernement en Europe",2024-06-20,https://ror.org/00bhwwh42
"Sciences, Philosophie, Humanités",2024-06-20,https://ror.org/00bj04t22
Délégation Rhône Auvergne,2024-06-20,https://ror.org/00bjjqs38
Délégation Paris 7,2024-06-20,https://ror.org/00bw5n526
Histoire Naturelle de l’Homme Préhistorique,2024-06-20,https://ror.org/00c3ta789
Institut Méditerranéen des Sciences de l'Information et de la Communication,2024-06-20,https://ror.org/00c62kq26
Institut Rayonnement-Matière de Saclay,2024-06-20,https://ror.org/00cch2r34
Biologie du Fruit et Pathologie,2024-06-20,https://ror.org/00ccpdp17
Universidad Nacional de Lanús,2024-06-20,https://ror.org/00ccxmy30
Campus Condorcet,2024-06-20,https://ror.org/00cd48p72
Observatoire des Sciences de l'Univers OREME,2024-06-20,https://ror.org/00cesps27
IDEMS International Community Interest Company,2024-06-20,https://ror.org/00cj7p615
University of Belgrade – Faculty of Veterinary Medicine,2024-06-20,https://ror.org/00cm89a33
"Physiopathologie, métabolisme et nutrition",2024-06-20,https://ror.org/00cmmh940
Universidade Federal de Jataí,2024-06-20,https://ror.org/00cs91c30
MATériaux et Ingénierie Mécanique,2024-06-20,https://ror.org/00da5hk39
ARMINES,2024-06-20,https://ror.org/00dcrfk74
Ministère de l'Europe et des Affaires étrangères,2024-06-20,https://ror.org/00dfd1509
Pratiques et Théories de l'art contemporain,2024-06-20,https://ror.org/00drkdp66
Center for Infection and Immunity of Lille,2024-06-20,https://ror.org/00dyt5s15
Laboratoire de Géographie Physique et Environnementale,2024-06-20,https://ror.org/00e4pqm50
Université d'Évry Val-d'Essonne,2024-06-20,https://ror.org/00e96v939
Centre Paul Broca,2024-06-20,https://ror.org/00earpg61
Daejeon Woori Hospital,2024-06-20,https://ror.org/00eqbnd64
Holy Child College of Education,2024-06-20,https://ror.org/00etztf89
"Acteurs, Ressources et Territoires dans le Développement",2024-06-20,https://ror.org/00f5hap04
University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen,2024-06-20,https://ror.org/00f5q5839
National Center for Public Health Informatics,2024-06-20,https://ror.org/00f5trr09
XLIM,2024-06-20,https://ror.org/00f7srh09
Institut Pythéas Observatoire des Sciences de l’Univers,2024-06-20,https://ror.org/00f945z63
Laboratoire de Génie Civil et Géo Environnement,2024-06-20,https://ror.org/00fh1dw28
Universitas Mega Buana Palopo,2024-06-20,https://ror.org/00fp8jg78
ITAP - Technologies et Méthodes pour les Agricultures de demain,2024-06-20,https://ror.org/00ftatp57
Centre de Physique des Particules de Marseille,2024-06-20,https://ror.org/00fw8bp86
Laboratoire d'Economie Appliquée de Grenoble,2024-06-20,https://ror.org/00fwjkb59
University of Belgrade – Faculty of Economics and Business,2024-06-20,https://ror.org/00g1dnz14
